input,Flat,50x50,15x15,v_flat,s_flat,v_50,s_50,v_15,s_15
0.1,0,0,0,0.17,0.01,0.067,0.01,0.015,0.05
0.5,0.060530315,0.102816059,0.110325097,0.86,0.048,0.47,0.046,0.07,0.022
1,0.129039081,0.105969964,0.110325097,1.75,0.096,0.96,0.094,0.14,0.05
3,0.063815908,0.042581018,0.031861033,5.2,0.29,2.8,0.29,0.44,0.12
5,0.040573944,0.028520151,0.020000557,8.65,0.485,4.7,0.52,0.73,0.22
10,0.023417057,0.017712591,0.020000557,17.3,0.97,9.67,1,1.46,0.44
